ARCH_YR,단독다가구,아파트,연립다세대,오피스텔
970,1,0,0,0
1900,422,0,0,0
1901,9,0,0,0
1909,1,0,0,0
1911,18,0,0,0
1912,2,0,0,0
1920,2,0,0,0
1921,2,0,0,0
1922,1,0,0,0
1923,2,0,0,0
1926,1,0,0,0
1927,2,0,0,0
1928,16,0,0,0
1929,7,0,0,0
1930,29,0,0,0
1931,17,0,0,0
1932,24,0,0,0
1933,16,0,0,0
1934,25,0,0,0
1935,40,0,0,0
1936,67,0,0,0
1937,45,0,0,0
1938,22,0,0,0
1939,48,0,0,0
1940,42,0,0,0
1941,21,0,0,0
1942,24,0,0,0
1943,24,0,0,0
1944,12,0,0,0
1945,14,0,0,0
1946,6,0,0,0
1947,21,0,0,0
1948,41,0,0,0
1949,34,0,0,0
1950,113,0,0,0
1951,2,0,0,0
1952,7,0,0,0
1953,17,0,0,0
1954,73,0,0,0
1955,93,0,1,0
1956,93,0,4,0
1957,94,0,0,0
1958,158,0,0,0
1959,226,0,4,0
1960,383,0,3,0
1961,409,26,0,0
1962,86,0,0,0
1963,156,0,0,0
1964,249,0,1,0
1965,349,5,65,0
1966,562,19,16,0
1967,759,6,21,0
1968,810,83,64,0
1969,933,158,25,0
1970,2143,254,30,0
1971,1210,780,160,0
1972,698,192,39,0
1973,1286,336,53,0
1974,1337,897,118,0
1975,1125,720,184,0
1976,1006,913,553,0
1977,1192,680,569,0
1978,1124,2057,476,0
1979,466,1723,538,0
1980,2175,682,900,10
1981,415,1142,991,0
1982,586,1504,1500,0
1983,1157,2969,1531,0
1984,1048,2544,1172,0
1985,2310,2322,1369,0
1986,974,6978,7971,0
1987,1249,7624,4219,121
1988,2262,16900,4214,279
1989,2385,6914,3770,126
1990,3263,4529,5021,724
1991,3287,4626,11051,1810
1992,2458,9614,7620,528
1993,3179,9454,9614,321
1994,2162,7994,8402,386
1995,1392,8694,5763,107
1996,1467,10094,5745,69
1997,1177,13081,4734,507
1998,488,13898,2306,609
1999,392,18828,1258,1338
2000,373,17907,3381,519
2001,316,12562,8137,590
2002,374,12231,19923,1872
2003,298,19522,10816,5784
2004,208,19940,3808,10617
2005,86,13899,1292,6572
2006,246,9951,1651,2966
2007,212,8545,3770,1805
2008,128,12207,7253,576
2009,94,7705,3191,445
2010,116,7503,4213,632
2011,151,7682,6718,865
2012,115,7112,8855,2070
2013,93,7008,6875,5485
2014,165,9626,9581,3831
2015,164,6031,12710,5311
2016,152,7642,15830,5261
2017,307,5237,11695,4719
2018,278,6521,12816,3286
2019,180,7407,12437,3905
2020,74,5466,11801,4927
2021,44,3646,10409,3980
2022,15,1916,7480,3008
2023,8,506,3131,1829
2024,3,57,348,531
9999,69,2,47,907
