"자치구코드","법정동코드","법정동명"
"11110","10100",청운동
"11110","10200",신교동
"11110","10300",궁정동
"11110","10400",효자동
"11110","10500",창성동
"11110","10600",통의동
"11110","10700",적선동
"11110","10800",통인동
"11110","10900",누상동
"11110","11000",누하동
"11110","11100",옥인동
"11110","11200",체부동
"11110","11300",필운동
"11110","11400",내자동
"11110","11500",사직동
"11110","11600",도렴동
"11110","11700",당주동
"11110","11800",내수동
"11110","11900",세종로
"11110","12000",신문로1가
"11110","12100",신문로2가
"11110","12200",청진동
"11110","12300",서린동
"11110","12400",수송동
"11110","12500",중학동
"11110","12600",종로1가
"11110","12700",공평동
"11110","12800",관훈동
"11110","12900",견지동
"11110","13000",와룡동
"11110","13100",권농동
"11110","13200",운니동
"11110","13300",익선동
"11110","13400",경운동
"11110","13500",관철동
"11110","13600",인사동
"11110","13700",낙원동
"11110","13800",종로2가
"11110","13900",팔판동
"11110","14000",삼청동
"11110","14100",안국동
"11110","14200",소격동
"11110","14300",화동
"11110","14400",사간동
"11110","14500",송현동
"11110","14600",가회동
"11110","14700",재동
"11110","14800",계동
"11110","14900",원서동
"11110","15000",훈정동
"11110","15100",묘동
"11110","15200",봉익동
"11110","15300",돈의동
"11110","15400",장사동
"11110","15500",관수동
"11110","15600",종로3가
"11110","15700",인의동
"11110","15800",예지동
"11110","15900",원남동
"11110","16000",연지동
"11110","16100",종로4가
"11110","16200",효제동
"11110","16300",종로5가
"11110","16400",종로6가
"11110","16500",이화동
"11110","16600",연건동
"11110","16700",충신동
"11110","16800",동숭동
"11110","16900",혜화동
"11110","17000",명륜1가
"11110","17100",명륜2가
"11110","17200",명륜4가
"11110","17300",명륜3가
"11110","17400",창신동
"11110","17500",숭인동
"11110","17600",교남동
"11110","17700",평동
"11110","17800",송월동
"11110","17900",홍파동
"11110","18000",교북동
"11110","18100",행촌동
"11110","18200",구기동
"11110","18300",평창동
"11110","18400",부암동
"11110","18500",홍지동
"11110","18600",신영동
"11110","18700",무악동
"11140","10100",무교동
"11140","10200",다동
"11140","10300",태평로1가
"11140","10400",을지로1가
"11140","10500",을지로2가
"11140","10600",남대문로1가
"11140","10700",삼각동
"11140","10800",수하동
"11140","10900",장교동
"11140","11000",수표동
"11140","11100",소공동
"11140","11200",남창동
"11140","11300",북창동
"11140","11400",태평로2가
"11140","11500",남대문로2가
"11140","11600",남대문로3가
"11140","11700",남대문로4가
"11140","11800",남대문로5가
"11140","11900",봉래동1가
"11140","12000",봉래동2가
"11140","12100",회현동1가
"11140","12200",회현동2가
"11140","12300",회현동3가
"11140","12400",충무로1가
"11140","12500",충무로2가
"11140","12600",명동1가
"11140","12700",명동2가
"11140","12800",남산동1가
"11140","12900",남산동2가
"11140","13000",남산동3가
"11140","13100",저동1가
"11140","13200",충무로4가
"11140","13300",충무로5가
"11140","13400",인현동2가
"11140","13500",예관동
"11140","13600",묵정동
"11140","13700",필동1가
"11140","13800",필동2가
"11140","13900",필동3가
"11140","14000",남학동
"11140","14100",주자동
"11140","14200",예장동
"11140","14300",장충동1가
"11140","14400",장충동2가
"11140","14500",광희동1가
"11140","14600",광희동2가
"11140","14700",쌍림동
"11140","14800",을지로6가
"11140","14900",을지로7가
"11140","15000",을지로4가
"11140","15100",을지로5가
"11140","15200",주교동
"11140","15300",방산동
"11140","15400",오장동
"11140","15500",을지로3가
"11140","15600",입정동
"11140","15700",산림동
"11140","15800",충무로3가
"11140","15900",초동
"11140","16000",인현동1가
"11140","16100",저동2가
"11140","16200",신당동
"11140","16300",흥인동
"11140","16400",무학동
"11140","16500",황학동
"11140","16600",서소문동
"11140","16700",정동
"11140","16800",순화동
"11140","16900",의주로1가
"11140","17000",충정로1가
"11140","17100",중림동
"11140","17200",의주로2가
"11140","17300",만리동1가
"11140","17400",만리동2가
"11170","10100",후암동
"11170","10200",용산동2가
"11170","10300",용산동4가
"11170","10400",갈월동
"11170","10500",남영동
"11170","10600",용산동1가
"11170","10700",동자동
"11170","10800",서계동
"11170","10900",청파동1가
"11170","11000",청파동2가
"11170","11100",청파동3가
"11170","11200",원효로1가
"11170","11300",원효로2가
"11170","11400",신창동
"11170","11500",산천동
"11170","11600",청암동
"11170","11700",원효로3가
"11170","11800",원효로4가
"11170","11900",효창동
"11170","12000",도원동
